Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,Harvard University,Data Science: Probability,Introductory,0,English,0.0,135859,Self-paced on your time,Data Analysis & Statistics,49
EDX,Harvard University,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Intermediate,0,English,0.0,117410,Self-paced on your time,Education & Teacher Training,70
EDX,Harvard University,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",Introductory,0,English,0.0,80082,Self-paced on your time,Medicine,99
EDX,Harvard University,Introduction to Family Engagement in Education,Introductory,0,English,0.0,105146,Self-paced on your time,Education & Teacher Training,70
EDX,Wellesley College,Italian Language and Culture: Beginner (2019-2020),Introductory,0,Italiano,0.0,182462,Self-paced on your time,Language,49
EDX,Waseda University,Steps in Japanese for Beginners1 Part1,Introductory,0,English,0.0,53630,Self-paced on your time,Language,49
EDX,"University of California, Berkeley",How to Write an Essay,Introductory,0,English,0.0,306787,Self-paced on your time,Humanities,49
EDX,Harvard University,Energy Within Environmental Constraints,Introductory,0,English,0.0,95324,Self-paced on your time,Environmental Studies,99
EDX,Harvard University,Introduction to Probability,Intermediate,0,English,0.0,97291,Self-paced on your time,Data Analysis & Statistics,99
EDX,Harvard University,AnatomyX: Musculoskeletal Cases,Intermediate,0,English,0.0,102075,Self-paced on your time,Medicine,99
EDX,Harvard University,Data Science: Inference and Modeling,Introductory,0,English,0.0,88256,Self-paced on your time,Data Analysis & Statistics,49
EDX,Harvard University,Strengthening Community Health Worker Programs,Introductory,0,English,0.0,58626,Self-paced on your time,Health & Safety,79
EDX,Harvard University,Buddhism Through Its Scriptures,Introductory,0,English,0.0,182295,Self-paced on your time,Humanities,99
EDX,The Linux Foundation,Introduction to Linux,Introductory,0,English,0.0,642088,Self-paced on your time,Computer Science,199
EDX,Harvard University,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Introductory,0,English,0.0,81221,Self-paced on your time,Medicine,99
EDX,Harvard University,Shakespeare's Life and Work,Introductory,0,English,0.0,48938,Self-paced on your time,Humanities,49
EDX,Universidad Galileo,Marketing Digital: Content & Community Manager,Introductory,0,Español,0.0,112623,Self-paced on your time,Communication,49
EDX,Indian Institute of Management Bangalore,Accounting and Finance,Intermediate,0,English,0.0,88243,Self-paced on your time,Business & Management,150
EDX,The Georgia Institute of Technology,Computing in Python I: Fundamentals and Procedural Programming,Introductory,0,English,0.0,141966,Self-paced on your time,Computer Science,99
EDX,Wageningen University & Research,"Nutrition, Exercise and Sports",Intermediate,0,English,0.0,51679,Self-paced on your time,Food & Nutrition,49
EDX,Massachusetts Institute of Technology,Becoming an Entrepreneur,Introductory,0,English,0.0,104760,Self-paced on your time,Business & Management,69
EDX,Harvard University,"Religion, Conflict and Peace",Introductory,0,English,0.0,74060,Self-paced on your time,Humanities,49
EDX,Harvard University,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",Introductory,0,English,0.0,61139,Self-paced on your time,Humanities,49
EDX,"University of California, Berkeley",Academic and Business Writing,Introductory,0,English,0.0,322701,Self-paced on your time,Communication,49
EDX,Harvard University,Data Science: Capstone,Introductory,0,English,0.0,62803,Self-paced on your time,Data Analysis & Statistics,99
EDX,New York University,Basics of Computing and Programming,Introductory,0,English,0.0,37045,Self-paced on your time,Computer Science,200
EDX,Harvard University,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Introductory,0,English,0.0,84874,Self-paced on your time,Biology & Life Sciences,99
EDX,The University of Michigan,Successful Negotiation: Essential Strategies and Skills,Introductory,0,English,0.0,31369,Self-paced on your time,Business & Management,49
EDX,Harvard University,Data Science: Linear Regression,Introductory,0,English,0.0,75310,Self-paced on your time,Data Analysis & Statistics,49
EDX,The World Wide Web Consortium (W3C),HTML5 and CSS Fundamentals,Introductory,0,English,0.0,335895,Self-paced on your time,Computer Science,199
EDX,Harvard University,Data Science: Productivity Tools,Introductory,0,English,0.0,66683,Self-paced on your time,Data Analysis & Statistics,49
EDX,Columbia University,Introduction to Corporate Finance,Introductory,0,English,0.0,98093,Self-paced on your time,Business & Management,225
EDX,Stanford University,Computer Science 101,Introductory,0,English,0.0,39540,Self-paced on your time,Computer Science,149
EDX,Harvard University,Data Science: Wrangling,Introductory,0,English,0.0,64584,Self-paced on your time,Data Analysis & Statistics,49
EDX,Cornell University,A Hands-on Introduction to Engineering Simulations,Intermediate,0,English,0.0,187138,Self-paced on your time,Engineering,199
EDX,IBM,AI for Everyone: Master the Basics,Introductory,0,English,0.0,49340,Self-paced on your time,Computer Science,49
EDX,The University of Queensland,The Psychology of Criminal Justice,Introductory,0,English,0.0,110086,Self-paced on your time,Humanities,99
EDX,IBM,Machine Learning with Python: A Practical Introduction,Introductory,0,English,0.0,80161,Self-paced on your time,Data Analysis & Statistics,39
EDX,IBM,Analyzing Data with Python,Introductory,0,English,0.0,94079,Self-paced on your time,Data Analysis & Statistics,39
EDX,Universitat Politècnica de Valencia,Excel: gestión de datos,Intermediate,0,Español,0.0,111785,Self-paced on your time,Computer Science,75
EDX,Massachusetts Institute of Technology,Probability - The Science of Uncertainty and Data,Advanced,0,English,0.0,205615,Instructor-led on a course schedule,Data Analysis & Statistics,300
EDX,Harvard University,"Fundamentals of Neuroscience, Part 3: The Brain",Introductory,0,English,0.0,85034,Self-paced on your time,Biology & Life Sciences,99
EDX,Harvard University,Sikhism Through Its Scriptures,Introductory,0,English,0.0,44125,Self-paced on your time,Humanities,99
EDX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Modern Life,Intermediate,0,English,0.0,77991,Self-paced on your time,Language,50
EDX,Harvard University,Introduction to Probability,Intermediate,0,English,0.0,97291,Self-paced on your time,Data Analysis & Statistics,99
EDX,Harvard University,Religious Literacy: Traditions and Scriptures,Introductory,0,English,0.0,96972,Self-paced on your time,Humanities,99
EDX,The University of Michigan,Programación para todos (empezando con Python),Introductory,0,Español,0.0,81004,Self-paced on your time,Computer Science,49
EDX,Davidson College,Analyzing and Visualizing Data with Power BI,Introductory,0,English,0.0,28879,Self-paced on your time,Data Analysis & Statistics,99
EDX,Harvard University,High-Dimensional Data Analysis,Advanced,0,English,0.0,78443,Self-paced on your time,Data Analysis & Statistics,149
EDX,Berklee College of Music,Introduction To Music Theory,Introductory,0,English,0.0,67029,Self-paced on your time,Humanities,49
EDX,The Hong Kong Polytechnic University,Human Anatomy,Introductory,0,English,0.0,126850,Self-paced on your time,Medicine,139
EDX,Harvard University,"CitiesX: The Past, Present and Future of Urban Life",Introductory,0,English,0.0,76874,Self-paced on your time,Social Sciences,99
EDX,Harvard University,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,Introductory,0,English,0.0,24208,Self-paced on your time,Philosophy & Ethics,99
EDX,Massachusetts Institute of Technology,Entrepreneurship 101: Who is your customer?,Introductory,0,English,0.0,41838,Self-paced on your time,Business & Management,49
EDX,Harvard University,"U.S. Public Policy: Social, Economic, and Foreign Policies",Introductory,0,English,0.0,44045,Self-paced on your time,Social Sciences,49
EDX,Massachusetts Institute of Technology,Machine Learning with Python: from Linear Models to Deep Learning,Advanced,0,English,0.0,85561,Instructor-led on a course schedule,Computer Science,300
EDX,IBM,Introduction to Data Science,Introductory,0,English,0.0,43766,Self-paced on your time,Data Analysis & Statistics,39
EDX,Massachusetts Institute of Technology,Circuits and Electronics 1: Basic Circuit Analysis,Introductory,0,English,0.0,52639,Self-paced on your time,Electronics,169
EDX,Indian Institute of Management Bangalore,Introduction to Investments,Intermediate,0,English,0.0,91788,Self-paced on your time,Business & Management,50
EDX,Harvard University,Improving Your Business Through a Culture of Health,Introductory,0,English,0.0,54136,Self-paced on your time,Business & Management,99
EDX,Harvard University,Introduction to Linear Models and Matrix Algebra,Intermediate,0,English,0.0,92004,Self-paced on your time,Math,149
EDX,Indian Institute of Management Bangalore,DO Your Venture: Entrepreneurship For Everyone,Introductory,0,English,0.0,61989,Self-paced on your time,Business & Management,150
EDX,Inter-American Development Bank,El valor de la creatividad y la innovación: La Economía Naranja,Introductory,0,Español,0.0,23728,Self-paced on your time,Art & Culture,25
EDX,Harvard University,Humanitarian Response to Conflict and Disaster,Introductory,0,English,0.0,119891,Self-paced on your time,Health & Safety,99
EDX,Harvard University,"Women Making History: Ten Objects, Many Stories",Introductory,0,English,0.0,38939,Self-paced on your time,History,99
EDX,Harvard University,Masterpieces of World Literature,Introductory,0,English,0.0,88789,Self-paced on your time,Literature,149
EDX,IBM,SQL for Data Science,Introductory,0,English,0.0,39184,Self-paced on your time,Data Analysis & Statistics,39
EDX,Universidad del Rosario,El cerebro y las emociones en el lenguaje,Introductory,0,Español,0.0,41279,Self-paced on your time,Communication,49
EDX,Harvard University,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),Introductory,0,English,0.0,62673,Self-paced on your time,Physics,169
EDX,Universitat Politècnica de Valencia,Python: aprender a programar,Introductory,0,Español,0.0,21613,Self-paced on your time,Computer Science,49
EDX,"University of California, Berkeley",Marketing Analytics: Competitive Analysis and Market Segmentation,Intermediate,0,English,0.0,70682,Self-paced on your time,Computer Science,249
EDX,Harvard University,MalariaX: Defeating Malaria from the Genes to the Globe,Intermediate,0,English,0.0,37598,Self-paced on your time,Biology & Life Sciences,49
EDX,Harvard University,Entrepreneurship in Emerging Economies,Introductory,0,English,0.0,113602,Self-paced on your time,Business & Management,125
EDX,The World Wide Web Consortium (W3C),JavaScript Introduction,Introductory,0,English,0.0,160112,Self-paced on your time,Computer Science,199
EDX,Indian Institute of Management Bangalore,People Management,Introductory,0,English,0.0,113592,Self-paced on your time,Business & Management,150
EDX,University of Washington,Using Email for Networking in English,Introductory,0,English,0.0,57208,Self-paced on your time,Language,149
EDX,Stanford University,Databases: Relational Databases and SQL,Introductory,0,English,0.0,20502,Self-paced on your time,Computer Science,50
EDX,Dartmouth_IMTx-Dartmouth College-IMT,C Programming: Getting Started,Introductory,0,English,0.0,104108,Self-paced on your time,Computer Science,49
EDX,Massachusetts Institute of Technology,Supply Chain Analytics,Introductory,0,English,0.0,145049,Instructor-led on a course schedule,Business & Management,199
EDX,University of Pennsylvania,Programming for the Web with JavaScript,Intermediate,0,English,0.0,91406,Self-paced on your time,Computer Science,149
