Platform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject
edX,Harvard University,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",Beginner,99.0,English,4,80082,Self-paced on your time,Medicine
edX,Harvard University,Introduction to Family Engagement in Education,Beginner,70.0,English,3,105146,Self-paced on your time,Education & Teacher Training
edX,Wellesley College,Italian Language and Culture: Beginner (2019-2020),Beginner,49.0,Italiano,5,182462,Self-paced on your time,Language
edX,Waseda University,Steps in Japanese for Beginners1 Part1,Beginner,49.0,English,5,53630,Self-paced on your time,Language
edX,"University of California, Berkeley",How to Write an Essay,Beginner,49.0,English,4,306787,Self-paced on your time,Humanities
edX,Harvard University,Energy Within Environmental Constraints,Beginner,99.0,English,4,95324,Self-paced on your time,Environmental Studies
edX,Harvard University,Introduction to Probability,Intermediate,99.0,English,4,97291,Self-paced on your time,Data Analysis & Statistics
edX,Harvard University,AnatomyX: Musculoskeletal Cases,Intermediate,99.0,English,5,102075,Self-paced on your time,Medicine
edX,Harvard University,Data Science: Inference and Modeling,Beginner,49.0,English,2,88256,Self-paced on your time,Data Analysis & Statistics
edX,Harvard University,Strengthening Community Health Worker Programs,Beginner,79.0,English,4,58626,Self-paced on your time,Health & Safety
edX,Harvard University,Buddhism Through Its Scriptures,Beginner,99.0,English,4,182295,Self-paced on your time,Humanities
edX,The Linux Foundation,Introduction to Linux,Beginner,199.0,English,4,642088,Self-paced on your time,Computer Science
edX,Harvard University,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Beginner,99.0,English,2,81221,Self-paced on your time,Medicine
edX,Harvard University,Shakespeare's Life and Work,Beginner,49.0,English,4,48938,Self-paced on your time,Humanities
edX,Universidad Galileo,Marketing Digital: Content & Community Manager,Beginner,49.0,Español,3,112623,Self-paced on your time,Communication
edX,Indian Institute of Management Bangalore,Accounting and Finance,Intermediate,150.0,English,4,88243,Self-paced on your time,Business & Management
edX,The Georgia Institute of Technology,Computing in Python I: Fundamentals and Procedural Programming,Beginner,99.0,English,2,141966,Self-paced on your time,Computer Science
edX,Wageningen University & Research,"Nutrition, Exercise and Sports",Intermediate,49.0,English,3,51679,Self-paced on your time,Food & Nutrition
edX,Massachusetts Institute of Technology,Becoming an Entrepreneur,Beginner,69.0,English,2,104760,Self-paced on your time,Business & Management
edX,Harvard University,"Religion, Conflict and Peace",Beginner,49.0,English,2,74060,Self-paced on your time,Humanities
edX,Harvard University,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",Beginner,49.0,English,3,61139,Self-paced on your time,Humanities
edX,"University of California, Berkeley",Academic and Business Writing,Beginner,49.0,English,3,322701,Self-paced on your time,Communication
edX,Harvard University,Data Science: Capstone,Beginner,99.0,English,4,62803,Self-paced on your time,Data Analysis & Statistics
edX,New York University,Basics of Computing and Programming,Beginner,200.0,English,5,37045,Self-paced on your time,Computer Science
edX,Harvard University,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Beginner,99.0,English,4,84874,Self-paced on your time,Biology & Life Sciences
edX,The University of Michigan,Successful Negotiation: Essential Strategies and Skills,Beginner,49.0,English,4,31369,Self-paced on your time,Business & Management
edX,Harvard University,Data Science: Linear Regression,Beginner,49.0,English,4,75310,Self-paced on your time,Data Analysis & Statistics
edX,The World Wide Web Consortium (W3C),HTML5 and CSS Fundamentals,Beginner,199.0,English,4,335895,Self-paced on your time,Computer Science
edX,Harvard University,Data Science: Productivity Tools,Beginner,49.0,English,5,66683,Self-paced on your time,Data Analysis & Statistics
edX,Columbia University,Introduction to Corporate Finance,Beginner,225.0,English,4,98093,Self-paced on your time,Business & Management
edX,Stanford University,Computer Science 101,Beginner,149.0,English,4,39540,Self-paced on your time,Computer Science
edX,Harvard University,Data Science: Wrangling,Beginner,49.0,English,4,64584,Self-paced on your time,Data Analysis & Statistics
edX,Cornell University,A Hands-on Introduction to Engineering Simulations,Intermediate,199.0,English,3,187138,Self-paced on your time,Engineering
edX,IBM,AI for Everyone: Master the Basics,Beginner,49.0,English,2,49340,Self-paced on your time,Computer Science
edX,The University of Queensland,The Psychology of Criminal Justice,Beginner,99.0,English,2,110086,Self-paced on your time,Humanities
edX,IBM,Machine Learning with Python: A Practical Introduction,Beginner,39.0,English,4,80161,Self-paced on your time,Data Analysis & Statistics
edX,IBM,Analyzing Data with Python,Beginner,39.0,English,5,94079,Self-paced on your time,Data Analysis & Statistics
edX,Universitat Politècnica de Valencia,Excel: gestión de datos,Intermediate,75.0,Español,4,111785,Self-paced on your time,Computer Science
edX,Massachusetts Institute of Technology,Probability - The Science of Uncertainty and Data,Advanced,300.0,English,3,205615,Instructor-led on a course schedule,Data Analysis & Statistics
edX,Harvard University,"Fundamentals of Neuroscience, Part 3: The Brain",Beginner,99.0,English,5,85034,Self-paced on your time,Biology & Life Sciences
edX,Harvard University,Sikhism Through Its Scriptures,Beginner,99.0,English,5,44125,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Modern Life,Intermediate,50.0,English,5,77991,Self-paced on your time,Language
edX,Harvard University,Introduction to Probability,Intermediate,99.0,English,5,97291,Self-paced on your time,Data Analysis & Statistics
edX,Harvard University,Religious Literacy: Traditions and Scriptures,Beginner,99.0,English,4,96972,Self-paced on your time,Humanities
