Plataform,Title,Level,Price,Language,Rating,is_paid,n_Students,num_reviews,num_lectures,Subject,Ventas
Udemy,Learn About Trading Options from a real wallstreet trader,All Levels,20,English,0.0,True,1046,17,12,Business Finance,20920
Udemy,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,All Levels,20,English,0.0,True,2239,4,7,Business Finance,44780
Udemy,How to Build a Massive Stock Portfolio from Zero!,All Levels,200,English,0.0,True,1882,51,129,Business Finance,376400
Udemy,Introductory Forex Trading Course,Beginner Level,0,English,0.0,False,5931,158,15,Business Finance,0
Udemy,Budgeting Hacks to Build Wealth!,Beginner Level,0,English,0.0,False,4931,154,7,Business Finance,0
Udemy,Accounting and Finance for Bankers - A Comprehensive Study,All Levels,180,English,0.0,True,3056,9,316,Business Finance,550080
Udemy,Forex Prep Academy for Beginners-Real trades!,Beginner Level,75,English,0.0,True,1303,21,44,Business Finance,97725
Udemy,Accounting for Deferred Taxes (Professional Course Level),All Levels,25,English,0.0,True,2924,6,11,Business Finance,73100
Udemy,TRADING TRUTHS,All Levels,50,English,0.0,True,1405,14,27,Business Finance,70250
Udemy,The Binary Institute - Introductory Course in Binary Options,All Levels,0,English,0.0,False,1121,12,6,Business Finance,0
Udemy,Forex Trading vs Option Trading,All Levels,95,English,0.0,True,1776,14,29,Business Finance,168720
